RP Type,Property Reference      ,UPRN                    ,Parish                          ,Account Holder 1                                          ,Account Holder 2                                          ,Liable From  ,Property Name 1                                ,Property Name 2                                ,Address 1                                      ,Address 2                                      ,Address 3            ,Address 4            ,Post Code     ,Rateable Value,VO Code,Property Description                                      ,Charity,Discretionary,Mandatory,Disc Char Amt,Mand Char Amt,Charity Relief From,Rural,Disc Rural   ,Mand Rural   ,Disc Rural Amt,Mand Rural Amt,Rural From,SBRR,SBRR Amount,SBRR From ,S44,S44 Amount,S44 From  ,S49,S49 Amount,S49 Percent,S49 From  ,Local Discount,Local Amount,RHL,RHL Amount,RHL From,SSB,SSB Amount,SSB From,Transitional,Transitional Amount,Transitional From,Transitional To,Empty,Empty Amount,Empty From,Exempt,Exempt Amount,Exempt From,Exempt To  ,Exempt Type,
C,10182980012Z,10070625709,EAST GRINSTEAD,7TH HEAVEN SALON LIMITED,,9/23/2009,12 KING STREET,,12 KING STREET,EAST GRINSTEAD,WEST SUSSEX,,RH19 3DJ,17750,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-3542.9,Y,-3542.9,4/1/2022,N,0,,N,0,,,N,0,,N,0,,,,
C,1.01043E+11,010070638998,BURGESS HILL,8TH BURGESS HILL (ST EDWARDS),SCOUT GROUP,4/1/1995,,,8TH BURGESS HILL SCOUT GROUP,SCOUT HALL,ROYAL GEORGE ROAD,BURGESS HILL WEST SUSSEX,RH15 9TD,1675,LC3,HALL AND PREMISES,Y,0,80,0,-668.66,4/1/2020,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.00804E+11,010070638758,BOLNEY,A CONSTANTI CARS LIMITED,,3/1/2019,,,UNIT 4 THE OLD WORKS,LONDON ROAD,BOLNEY,HAYWARDS HEATH WEST SUSSEX,RH17 5PY,6300,IF3,WORKSHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-2485.49,3/1/2019,,0,,,0,0,,N,0,N,0,,N,0,,Y,-658.21,4/1/2025,4/1/2026,N,0,,N,0,,,,
C,1.03206E+11,010095667920,LINDFIELD RURAL,A G PUSEY ASSOCIATES,,4/22/2020,,,SOUTH SIDE AWBROOK CLINIC,LEWES ROAD,SCAYNES HILL,HAYWARDS HEATH WEST SUSSEX,RH17 7TB,17000,MH,SURGERY AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-5643.42,N,0,,Y,-5643.42,4/1/2023,N,0,,,N,0,,N,0,,,,
C,10020150770Z,010090941222,ALBOURNE,A JUPP & SON LTD,,6/1/2013,,,UNIT 8A VALLEY FARM,REEDS LANE,SAYERS COMMON,HASSOCKS. WEST SUSSEX,BN6 9JQ,11500,IF3,WORKSHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-5738.5,6/1/2013,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10482140747Z,10070640272,WORTH,A K DOORS & GATES LTD.,,9/1/2003,UNIT B4 THE OAKS,,UNIT B4 THE OAKS,SHIPLEY BRIDGE LANE,HORLEY,SURREY,RH6 9TL,9300,CW3,STORE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-4106.46,4/1/2005,,0,,,0,0,,N,0,N,0,,N,0,,Y,-534.24,4/1/2025,4/1/2026,N,0,,N,0,,,,
C,1.02403E+11,010093413625,HORSTED KEYNES,A P INSTALLATIONS LIMITED,,2/1/2017,,,UNITS A2 TO A6,HORSTED KEYNES BUSINESS PARK,HORSTED KEYNES HAYWARDS HEATH,WEST SUSSEX,RH17 7BA,60500,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10440280799X,,TWINEHAM,A TO Z GLAZING SOLUTIONS LTD,,4/1/2022,,,UNIT 3 WINTERPICK BUSINESS PARK,HURSTPIERPOINT ROAD,NEAR HENFIELD HASSOCKS,WEST SUSSEX,BN5 9BJ,14500,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10440280127A,010093414661,TWINEHAM,A TO Z GLAZING SOLUTIONS LTD,,5/14/2018,,,UNIT 27 WINTERPICK BUSINESS PARK,HURSTPIERPOINT ROAD,HENFIELD HASSOCKS,WEST SUSSEX,BN5 9BJ,13000,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10185000096Z,1.00062E+11,EAST GRINSTEAD,A TO Z REFURB SPECIALIST LTD,,6/18/2021,96 RAILWAY APPROACH,,96 RAILWAY APPROACH,EAST GRINSTEAD,WEST SUSSEX,,RH19 1BP,3650,CS,SHOP,N,0,0,0,0,,N,0,0,0,0,,Y,-1821.35,6/18/2021,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
