RP Type,Property Reference      ,UPRN                    ,Parish                          ,Account Holder 1                                          ,Account Holder 2                                          ,Liable From  ,Property Name 1                                ,Property Name 2                                ,Address 1                                      ,Address 2                                      ,Address 3            ,Address 4            ,Post Code     ,Rateable Value,VO Code,Property Description,Charity,Discretionary,Mandatory,Disc Char Amt,Mand Char Amt,Charity Relief From,Rural,Disc Rural   ,Mand Rural   ,Disc Rural Amt,Mand Rural Amt,Rural From,SBRR,SBRR Amount,SBRR From ,S44,S44 Amount,S44 From  ,S49,S49 Amount,S49 Percent,S49 From  ,Local Discount,Local Amount,RHL,RHL Amount,RHL From,SSB,SSB Amount,SSB From,Transitional,Transitional Amount,Transitional From,Transitional To,Empty,Empty Amount,Empty From,Exempt,Exempt Amount,Exempt From,Exempt To  ,Exempt Type,Unnamed: 59,Latitude,Longitude
C,104400407160,10070640153.0,TWINEHAM,,,1998-12-06,SITE OFFICE HILLMANS FARM,,SITE OFFICE HILLMANS FARM,BOLNEY CHAPEL ROAD. TWINEHAM.,HAYWARDS HEATH,WEST SUSSEX,RH17 5NN,1775,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-885.73,2010-04-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0312,-0.0945
C,10104740706A,10090017964.0,BURGESS HILL,ACCELERATED SYSTEMS LTD,,2015-04-01,,,GND FLR GREENACRE COURT,STATION ROAD,BURGESS HILL,WEST SUSSEX,RH15 9DS,5900,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-2944.1,2015-05-25,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9656,-0.1245
C,102253600120,10070621843.0,HAYWARDS HEATH,ACCESSORIZE STORES LTD,,2020-07-23,,,12 THE ORCHARDS,HAYWARDS HEATH,WEST SUSSEX,,RH16 3TH,24500,CS,Shop and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9956,-0.1234
C,10482180771X,100062473598.0,WORTH,ACE AUTO AND MOTS LTD,,2020-05-01,UNIT 6 SILVERWOOD,,UNIT 6 SILVERWOOD,SNOW HILL.CRAWLEY DOWN,CRAWLEY,WEST SUSSEX,RH10 3EN,11000,IF3,Workshop and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-5489.0,2020-05-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1123,-0.1656
C,10420750065B,10090941892.0,TURNERS HILL,ACK AVIATION LTD,,2019-08-07,,,UNIT 65 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY. WEST SUSSEX,RH10 4NQ,14750,IF3,Workshop and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0987,-0.1423
C,104207500440,10070622613.0,TURNERS HILL,ACK AVIATION LTD,,2023-01-31,,,UNIT 44 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY WEST SUSSEX,RH10 4NQ,13000,CW,Warehouse and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0987,-0.1423
C,104207500480,10070640141.0,TURNERS HILL,ACK AVIATION LTD,,2013-11-11,,,UNIT 48 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY WEST SUSSEX,RH10 4NQ,13750,CW,Warehouse and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0987,-0.1423
C,10420750065A,10090941891.0,TURNERS HILL,ACK AVIATION LTD,,2019-08-07,,,UNIT 64 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY. WEST SUSSEX,RH10 4NQ,12500,IF4,Business Unit and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0987,-0.1423
C,101000400160,100062616439.0,BURGESS HILL,ACORA LIMITED,,1999-06-11,,,ACORA HOUSE,16 ALBERT DRIVE,BURGESS HILL,WEST SUSSEX,RH15 9TN,128000,IFO,"Factory, Office and Premises",N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9656,-0.1245
C,105039600660,100062489324.0,ASHURST WOOD,ACORN THERAPY CLINICS LTD,,2009-09-01,,,66 MAYPOLE ROAD,ASHURST WOOD,EAST GRINSTEAD,WEST SUSSEX,RH19 3QY,6300,CS,Shop and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-3143.7,2010-04-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1189,-0.0234
C,10225100022Y,100062485799.0,HAYWARDS HEATH,ACTION FOR DEAFNESS,,2013-01-01,,,22-24 SUSSEX ROAD,HAYWARDS HEATH,WEST SUSSEX,,RH16 4EA,26000,CS,Shop and Premises,Y,0,80,0,-10379.2,2013-01-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0134,-0.1156
P,104807807920,10090015764.0,WORTH,ACUTE GARDENING SERVICES LTD,,2009-04-01,,,STORE AT FIRS FARM,COPTHORNE COMMON,COPTHORNE. CRAWLEY,WEST SUSSEX,RH10 3LF,6400,CW3,Store and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-3193.6,2009-04-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1123,-0.1656
C,102804607040,10070635329.0,HASSOCKS,ADASTRA BOWLING CLUB,,1995-04-01,,,BOWLING GREEN ADASTRA GRD,KEYMER ROAD,HASSOCKS,WEST SUSSEX,BN6 8QH,3850,LX,Bowling Club and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-1921.15,2006-04-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9187,-0.1572
C,10224170035J,10090941454.0,HAYWARDS HEATH,ADDACTIVE LTD,,2021-06-14,,,FOURTH FLOOR FRONT OAKFIELD HOUSE,35 PERRYMOUNT ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 3BW,27250,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9956,-0.1234
